x (ft),y (ft),description,img_last4,neck,seat_track,seat_height
39.78839567,-10.47887795,,1271,50th_male,mid,mid
39.78839567,-10.47887795,,1271,50th_male,mid,mid
39.78839567,-10.59258858,,1271,50th_male,mid,mid
39.91250656,-10.63786089,,1271,50th_male,mid,mid
40.16315617,-10.88239829,,1271,50th_male,mid,mid
40.16315617,-10.93981299,,1271,50th_male,mid,mid
40.54534449,-11.25526903,,1271,50th_male,mid,mid
40.54534449,-11.31325459,,1271,50th_male,mid,mid
40.54534449,-11.40989501,,1271,50th_male,mid,mid
40.80438648,-11.50798556,,1271,50th_male,mid,mid
40.80438648,-11.54689961,,1271,50th_male,mid,mid
40.80438648,-11.60526903,,1271,50th_male,mid,mid
40.80438648,-11.72201115,,1271,50th_male,mid,mid
40.80438648,-11.83875328,,1271,50th_male,mid,mid
40.80438648,-11.95549213,,1271,50th_male,mid,mid
41.06687008,-12.07748688,,1271,50th_male,mid,mid
41.06687008,-12.13624672,,1271,50th_male,mid,mid
41.19944882,-12.32580381,,1271,50th_male,mid,mid
41.19944882,-12.32580381,,1271,50th_male,mid,mid
41.19944882,-12.40441601,,1271,50th_male,mid,mid
41.19944882,-12.50268045,,1271,50th_male,mid,mid
41.19944882,-12.54198491,,1271,50th_male,mid,mid
41.19944882,-12.67955709,,1271,50th_male,mid,mid
41.19944882,-12.73851706,,1271,50th_male,mid,mid
41.19944882,-13.13157808,,1271,50th_male,mid,mid
41.19944882,-13.19053806,,1271,50th_male,mid,mid
41.19944882,-13.2298458,,1271,50th_male,mid,mid
41.19944882,-13.24949803,,1271,50th_male,mid,mid
41.19944882,-13.26915026,,1271,50th_male,mid,mid
41.33292323,-13.42373031,,1271,50th_male,mid,mid
41.33292323,-13.48288714,,1271,50th_male,mid,mid
41.33292323,-13.60120407,,1271,50th_male,mid,mid
41.33292323,-13.6209252,,1271,50th_male,mid,mid
41.33292323,-13.75895669,,1271,50th_male,mid,mid
41.33292323,-13.79839567,,1271,50th_male,mid,mid
41.33292323,-13.93643373,,1271,50th_male,mid,mid
41.33292323,-13.9758727,,1271,50th_male,mid,mid
41.33292323,-14.09418635,,1271,50th_male,mid,mid
41.33292323,-14.19278543,,1271,50th_male,mid,mid
41.33292323,-14.27166339,,1271,50th_male,mid,mid
41.33292323,-14.31110236,,1271,50th_male,mid,mid
41.33292323,-14.33082021,,1271,50th_male,mid,mid
41.33292323,-14.46885827,,1271,50th_male,mid,mid
41.33292323,-14.52801509,,1271,50th_male,mid,mid
41.33292323,-14.76464895,,1271,50th_male,mid,mid
41.33292323,-14.7843668,,1271,50th_male,mid,mid
41.33292323,-14.80408465,,1271,50th_male,mid,mid
41.33292323,-14.8829626,,1271,50th_male,mid,mid
41.33292323,-14.96184055,,1271,50th_male,mid,mid
41.33292323,-15.02100066,,1271,50th_male,mid,mid
41.33292323,-15.11959646,,1271,50th_male,mid,mid
41.33292323,-15.1393143,,1271,50th_male,mid,mid
41.33292323,-15.15903543,,1271,50th_male,mid,mid
41.33292323,-15.31679134,,1271,50th_male,mid,mid
41.33292323,-15.33650919,,1271,50th_male,mid,mid
41.19944882,-15.45064304,,1271,50th_male,mid,mid
41.06687008,-15.56400919,,1271,50th_male,mid,mid
32.64921588,-6.648113517,,1271,50th_male,mid,mid
32.73115814,-6.674461942,,1271,50th_male,mid,mid
32.73115814,-6.736246719,,1271,50th_male,mid,mid
32.73115814,-6.751692913,,1271,50th_male,mid,mid
32.81355643,-6.778389108,,1271,50th_male,mid,mid
32.81355643,-6.793874672,,1271,50th_male,mid,mid
32.89636811,-6.836282808,,1271,50th_male,mid,mid
32.97962927,-6.92562336,,1271,50th_male,mid,mid
33.0633399,-6.952998688,,1271,50th_male,mid,mid
33.23210958,-7.086663386,,1271,50th_male,mid,mid
33.31717192,-7.114691601,,1271,50th_male,mid,mid
33.66206693,-7.323786089,,1271,50th_male,mid,mid
33.7494685,-7.400698819,,1271,50th_male,mid,mid
34.0145374,-7.521397638,,1271,50th_male,mid,mid
34.0145374,-7.553562992,,1271,50th_male,mid,mid
34.0145374,-7.553562992,,1271,50th_male,mid,mid
34.19370407,-7.597585302,,1271,50th_male,mid,mid
34.93065617,-7.828267717,,1271,50th_male,mid,mid
34.93065617,-7.861345144,,1271,50th_male,mid,mid
35.12014108,-7.925003281,,1271,50th_male,mid,mid
35.31177822,-8.006118766,,1271,50th_male,mid,mid
35.31177822,-8.039576772,,1271,50th_male,mid,mid
35.31177822,-8.073031496,,1271,50th_male,mid,mid
35.50563648,-8.138641732,,1271,50th_male,mid,mid
35.90012467,-8.272152231,,1271,50th_male,mid,mid
36.10083661,-8.357204724,,1271,50th_male,mid,mid
36.40635827,-8.52984252,,1271,50th_male,mid,mid
36.5093832,-8.564973753,,1271,50th_male,mid,mid
36.71732283,-8.61843832,,1271,50th_male,mid,mid
36.71732283,-8.722998688,,1271,50th_male,mid,mid
36.92775262,-8.795262467,,1271,50th_male,mid,mid
37.03391732,-8.849301181,,1271,50th_male,mid,mid
37.24817585,-8.940679134,,1271,50th_male,mid,mid
32.97962927,-6.614235564,,1271,50th_male,mid,mid
32.24585958,-6.427181759,,1271,50th_male,mid,mid
53.60612861,-3.370026247,,1271,50th_male,mid,mid
53.37758858,-3.391998031,,1271,50th_male,mid,mid
52.4831857,-3.477988845,,1271,50th_male,mid,mid
52.4831857,-3.477988845,,1271,50th_male,mid,mid
52.04748688,-3.519878609,,1271,50th_male,mid,mid
51.40778543,-3.581381234,,1271,50th_male,mid,mid
50.78409449,-3.641345144,,1271,50th_male,mid,mid
49.77862533,-3.738011811,,1271,50th_male,mid,mid
49.00342848,-3.812542651,,1271,50th_male,mid,mid
48.0688189,-3.902398294,,1271,50th_male,mid,mid
47.5255479,-3.954629265,,1271,50th_male,mid,mid
44.98941273,-4.155387139,,1271,50th_male,mid,mid
44.3597605,-4.216548556,,1271,50th_male,mid,mid
44.05173885,-4.246469816,,1271,50th_male,mid,mid
41.46730315,-4.497509843,,1271,50th_male,mid,mid
40.03741798,-4.598254593,,1271,50th_male,mid,mid
38.70665354,-4.710426509,,1271,50th_male,mid,mid
38.01893045,-4.778254593,,1271,50th_male,mid,mid
36.92775262,-4.885872703,,1271,50th_male,mid,mid
36.20207677,-4.94027231,,1271,50th_male,mid,mid
36.10083661,-4.950308399,,1271,50th_male,mid,mid
35.31177822,-5.028523622,,1271,50th_male,mid,mid
34.55805774,-5.103234908,,1271,50th_male,mid,mid
33.31717192,-5.241971785,,1271,50th_male,mid,mid
32.89636811,-5.283474409,,1271,50th_male,mid,mid
32.40593832,-5.331843832,,1271,50th_male,mid,mid
32.40593832,-5.362411417,,1271,50th_male,mid,mid
32.24585958,-5.454068241,,1271,50th_male,mid,mid
32.24585958,-5.499681759,,1271,50th_male,mid,mid
32.24585958,-5.514885171,,1271,50th_male,mid,mid
32.16644357,-5.613277559,,1271,50th_male,mid,mid
32.16644357,-5.643608924,,1271,50th_male,mid,mid
32.16644357,-5.74976706,,1271,50th_male,mid,mid
32.16644357,-5.764931102,,1271,50th_male,mid,mid
32.16644357,-5.916587927,,1271,50th_male,mid,mid
32.16644357,-5.992414698,,1271,50th_male,mid,mid
32.16644357,-6.098572835,,1271,50th_male,mid,mid
32.16644357,-6.159235564,,1271,50th_male,mid,mid
32.16644357,-6.219895013,,1271,50th_male,mid,mid
