phis,phis (radians),NVP (in),NVP(ft),x (in),y (in),x (ft),y (ft)
146,2.548180708,379,31.58333333,-314.20524,211.9341104,-26.18377,17.66117587
147,2.565634,379,31.58333333,-317.8561452,206.4181944,-26.4880121,17.2015162
148,2.583087293,379,31.58333333,-321.4102285,200.8394011,-26.7841857,16.73661676
149,2.600540585,379,31.58333333,-324.8664069,195.1994305,-27.07220057,16.26661921
150,2.617993878,379,31.58333333,-328.223628,189.5,-27.351969,15.79166667
151,2.635447171,379,31.58333333,-331.4808691,183.7428459,-27.62340576,15.31190383
152,2.652900463,379,31.58333333,-334.6371377,177.9297223,-27.88642814,14.82747686
153,2.670353756,379,31.58333333,-337.6914727,172.0623992,-28.14095606,14.33853327
154,2.687807048,379,31.58333333,-340.6429435,166.1426647,-28.38691196,13.84522205
155,2.705260341,379,31.58333333,-343.4906514,160.1723211,-28.62422095,13.34769342
156,2.722713633,379,31.58333333,-346.2337284,154.1531878,-28.8528107,12.84609898
157,2.740166926,379,31.58333333,-348.8713395,148.0870976,-29.07261163,12.34059146
158,2.757620218,379,31.58333333,-351.4026809,141.975899,-29.28355674,11.83132491
159,2.775073511,379,31.58333333,-353.8269817,135.8214528,-29.48558181,11.3184544
160,2.792526803,379,31.58333333,-356.1435033,129.6256344,-29.67862527,10.8021362
161,2.809980096,379,31.58333333,-358.3515402,123.3903304,-29.86262835,10.28252754
162,2.827433388,379,31.58333333,-360.4504196,117.117441,-30.03753497,9.759786746
163,2.844886681,379,31.58333333,-362.4395025,110.808876,-30.20329188,9.234073
164,2.862339973,379,31.58333333,-364.3181827,104.466558,-30.35984856,8.705546496
165,2.879793266,379,31.58333333,-366.0858882,98.09241802,-30.50715735,8.174368168
166,2.897246558,379,31.58333333,-367.7420802,91.68839855,-30.64517335,7.640699879
167,2.914699851,379,31.58333333,-369.2862546,85.25644953,-30.77385455,7.104704128
168,2.932153143,379,31.58333333,-370.7179407,78.79853095,-30.89316172,6.566544246
169,2.949606436,379,31.58333333,-372.0367025,72.3166092,-31.00305854,6.0263841
170,2.967059728,379,31.58333333,-373.2421384,65.81265948,-31.10351153,5.48438829
171,2.984513021,379,31.58333333,-374.3338811,59.28866222,-31.19449009,4.940721851
172,3.001966313,379,31.58333333,-375.311598,52.74660543,-31.2759665,4.395550452
173,3.019419606,379,31.58333333,-376.1749915,46.18848113,-31.34791596,3.849040094
174,3.036872898,379,31.58333333,-376.9237983,39.61628776,-31.41031653,3.301357313
175,3.054326191,379,31.58333333,-377.5577906,33.0320265,-31.46314921,2.752668875
