x (ft),y (ft),description,img_last4,neck,seat_track,seat_height
2.608293963,11.97707349,,0000,50th_male,mid,mid
2.608293963,11.97707349,,0000,50th_male,mid,mid
2.530324803,11.97707349,,0000,50th_male,mid,mid
2.530324803,11.97707349,,0000,50th_male,mid,mid
2.374383202,11.97707349,,0000,50th_male,mid,mid
2.374383202,11.97707349,,0000,50th_male,mid,mid
2.138697507,11.90860236,,0000,50th_male,mid,mid
2.138697507,11.90860236,,0000,50th_male,mid,mid
1.983310367,11.90860236,,0000,50th_male,mid,mid
1.983310367,11.90860236,,0000,50th_male,mid,mid
1.905616798,11.90860236,,0000,50th_male,mid,mid
1.879717848,11.90860236,,0000,50th_male,mid,mid
1.775646325,11.8406168,,0000,50th_male,mid,mid
1.775646325,11.8406168,,0000,50th_male,mid,mid
1.775646325,11.8406168,,0000,50th_male,mid,mid
1.569196194,11.8406168,,0000,50th_male,mid,mid
1.543389108,11.8406168,,0000,50th_male,mid,mid
1.543389108,11.8406168,,0000,50th_male,mid,mid
1.086709318,11.57341535,,0000,50th_male,mid,mid
1.086709318,11.57341535,,0000,50th_male,mid,mid
0.676204068,11.63951115,,0000,50th_male,mid,mid
0.676204068,11.63951115,,0000,50th_male,mid,mid
0.471922572,11.63951115,,0000,50th_male,mid,mid
0.471922572,11.63951115,,0000,50th_male,mid,mid
0.391630577,11.31356299,,0000,50th_male,mid,mid
0.245846457,11.24971457,,0000,50th_male,mid,mid
-0.105374016,10.99863517,,0000,50th_male,mid,mid
-0.105374016,10.99863517,,0000,50th_male,mid,mid
-0.105374016,10.99863517,,0000,50th_male,mid,mid
-0.154717848,10.99863517,,0000,50th_male,mid,mid
-0.154717848,10.99863517,,0000,50th_male,mid,mid
-0.253405512,10.99863517,,0000,50th_male,mid,mid
-0.454209318,10.81473425,,0000,50th_male,mid,mid
-0.520249344,10.75425197,,0000,50th_male,mid,mid
-0.843451444,10.28454724,,0000,50th_male,mid,mid
-0.843451444,10.28454724,,0000,50th_male,mid,mid
-0.95875,9.947988845,,0000,50th_male,mid,mid
-0.982007874,9.947988845,,0000,50th_male,mid,mid
-1.164501312,9.784488189,,0000,50th_male,mid,mid
-1.20160105,9.730675853,,0000,50th_male,mid,mid
-1.20160105,9.730675853,,0000,50th_male,mid,mid
-1.215577428,9.677201444,,0000,50th_male,mid,mid
-1.252286745,9.624055118,,0000,50th_male,mid,mid
-1.374320866,9.414773622,,0000,50th_male,mid,mid
-1.374320866,9.414773622,,0000,50th_male,mid,mid
-1.531135171,9.060705381,,0000,50th_male,mid,mid
-1.577860892,8.962280184,,0000,50th_male,mid,mid
-1.636040026,8.81683727,,0000,50th_male,mid,mid
-1.652208005,8.580127953,,0000,50th_male,mid,mid
-1.752326115,8.350265748,,0000,50th_male,mid,mid
-1.752326115,8.350265748,,0000,50th_male,mid,mid
-2.10601706,7.575072178,,0000,50th_male,mid,mid
-2.10601706,7.575072178,,0000,50th_male,mid,mid
-2.113444882,7.2155479,,0000,50th_male,mid,mid
-2.113444882,7.2155479,,0000,50th_male,mid,mid
-2.255620079,6.947700131,,0000,50th_male,mid,mid
-2.255620079,6.947700131,,0000,50th_male,mid,mid
-2.241709318,6.689543963,,0000,50th_male,mid,mid
-2.241709318,6.689543963,,0000,50th_male,mid,mid
21.37860892,5.734612861,,0000,50th_male,mid,mid
21.37860892,5.734612861,,0000,50th_male,mid,mid
21.33286745,5.889560367,,0000,50th_male,mid,mid
21.29963911,5.908743438,,0000,50th_male,mid,mid
21.18334318,5.975885827,,0000,50th_male,mid,mid
21.18334318,5.975885827,,0000,50th_male,mid,mid
20.78316929,6.014625984,,0000,50th_male,mid,mid
20.78316929,6.014625984,,0000,50th_male,mid,mid
20.48705381,6.059055118,,0000,50th_male,mid,mid
20.48705381,6.059055118,,0000,50th_male,mid,mid
20.17549213,6.238937008,,0000,50th_male,mid,mid
20.17549213,6.238937008,,0000,50th_male,mid,mid
19.96231627,6.362014436,,0000,50th_male,mid,mid
19.96231627,6.362014436,,0000,50th_male,mid,mid
19.76554134,6.47562336,,0000,50th_male,mid,mid
19.76554134,6.47562336,,0000,50th_male,mid,mid
19.51957021,6.617634514,,0000,50th_male,mid,mid
19.51957021,6.617634514,,0000,50th_male,mid,mid
19.26067585,6.704330709,,0000,50th_male,mid,mid
19.16625656,6.696394357,,0000,50th_male,mid,mid
18.77942913,6.857598425,,0000,50th_male,mid,mid
18.77942913,6.857598425,,0000,50th_male,mid,mid
18.61671916,6.951538714,,0000,50th_male,mid,mid
18.61671916,6.951538714,,0000,50th_male,mid,mid
18.31930446,6.999947507,,0000,50th_male,mid,mid
18.31930446,6.999947507,,0000,50th_male,mid,mid
18.05063976,7.093881234,,0000,50th_male,mid,mid
18.05063976,7.093881234,,0000,50th_male,mid,mid
17.85901903,7.327185039,,0000,50th_male,mid,mid
17.84279199,7.336555118,,0000,50th_male,mid,mid
17.56688976,7.495849738,,0000,50th_male,mid,mid
17.56688976,7.495849738,,0000,50th_male,mid,mid
17.37213255,7.608290682,,0000,50th_male,mid,mid
17.35590223,7.617660761,,0000,50th_male,mid,mid
17.19233924,7.836036745,,0000,50th_male,mid,mid
17.19233924,7.836036745,,0000,50th_male,mid,mid
17.01289042,7.939639108,,0000,50th_male,mid,mid
17.01289042,7.939639108,,0000,50th_male,mid,mid
16.99427493,8.075613517,,0000,50th_male,mid,mid
16.93557415,8.172608268,,0000,50th_male,mid,mid
16.81062992,8.308172572,,0000,50th_male,mid,mid
16.81062992,8.308172572,,0000,50th_male,mid,mid
16.56337598,8.450925197,,0000,50th_male,mid,mid
16.56337598,8.450925197,,0000,50th_male,mid,mid
16.23996719,8.511115486,,0000,50th_male,mid,mid
16.23996719,8.511115486,,0000,50th_male,mid,mid
16.8488189,9.487270341,,0000,50th_male,mid,mid
16.8488189,9.487270341,,0000,50th_male,mid,mid
16.37065945,9.215200131,,0000,50th_male,mid,mid
16.28067257,9.200282152,,0000,50th_male,mid,mid
15.98009514,9.175341207,,0000,50th_male,mid,mid
15.98009514,9.175341207,,0000,50th_male,mid,mid
15.70461614,9.203805774,,0000,50th_male,mid,mid
15.70461614,9.203805774,,0000,50th_male,mid,mid
15.56458333,9.155446194,,0000,50th_male,mid,mid
15.4036647,8.993953412,,0000,50th_male,mid,mid
15.11194882,8.790534777,,0000,50th_male,mid,mid
14.96140748,8.695774278,,0000,50th_male,mid,mid
14.81583005,8.719868766,,0000,50th_male,mid,mid
14.78259186,8.67941601,,0000,50th_male,mid,mid
14.78259186,8.67941601,,0000,50th_male,mid,mid
14.85507218,9.000022966,,0000,50th_male,mid,mid
14.87277887,9.051295932,,0000,50th_male,mid,mid
15.14281496,9.658743438,,0000,50th_male,mid,mid
15.14281496,9.658743438,,0000,50th_male,mid,mid
14.86710302,9.494032152,,0000,50th_male,mid,mid
14.86710302,9.494032152,,0000,50th_male,mid,mid
14.66575459,9.419986877,,0000,50th_male,mid,mid
14.56588583,9.35242126,,0000,50th_male,mid,mid
14.48379265,9.337687008,,0000,50th_male,mid,mid
14.40211942,9.323028215,,0000,50th_male,mid,mid
14.28849081,9.327139108,,0000,50th_male,mid,mid
14.28849081,9.327139108,,0000,50th_male,mid,mid
14.01465551,9.363188976,,0000,50th_male,mid,mid
13.83861877,9.404265092,,0000,50th_male,mid,mid
13.83861877,9.404265092,,0000,50th_male,mid,mid
13.82255577,9.413540026,,0000,50th_male,mid,mid
13.74223097,9.459914698,,0000,50th_male,mid,mid
13.50126312,9.599038714,,0000,50th_male,mid,mid
13.50126312,9.599038714,,0000,50th_male,mid,mid
13.2789042,9.667168635,,0000,50th_male,mid,mid
13.2789042,9.667168635,,0000,50th_male,mid,mid
13.08661745,9.778182415,,0000,50th_male,mid,mid
13.08661745,9.778182415,,0000,50th_male,mid,mid
12.77377953,9.839206037,,0000,50th_male,mid,mid
12.77377953,9.839206037,,0000,50th_male,mid,mid
12.53463255,9.977276903,,0000,50th_male,mid,mid
12.53463255,9.977276903,,0000,50th_male,mid,mid
12.31143045,10.10614173,,0000,50th_male,mid,mid
12.28458005,10.06229987,,0000,50th_male,mid,mid
12.09434055,9.995875984,,0000,50th_male,mid,mid
11.90103346,9.991440289,,0000,50th_male,mid,mid
11.60024934,10.05020669,,0000,50th_male,mid,mid
11.48214567,10.06136811,,0000,50th_male,mid,mid
