phis,phis (radians),NVP (in),NVP(ft),x (in),y (in),x (ft),y (ft)
270,4.71238898,438,36.5,-8.05E-14,-438,-6.70769E-15,-36.5
271,4.729842273,438,36.5,7.64415402,-437.9332905,0.637012835,-36.49444088
272,4.747295565,438,36.5,15.28597956,-437.7331822,1.27383163,-36.47776518
273,4.764748858,438,36.5,22.92314883,-437.3997362,1.910262403,-36.44997802
274,4.78220215,438,36.5,30.5533355,-436.933054,2.546111292,-36.41108783
275,4.799655443,438,36.5,38.17421532,-436.3332778,3.18118461,-36.36110648
276,4.817108736,438,36.5,45.78346691,-435.6005902,3.815288909,-36.30004918
277,4.834562028,438,36.5,53.37877241,-434.7352144,4.448231034,-36.22793453
278,4.852015321,438,36.5,60.95781822,-433.7374141,5.079818185,-36.14478451
279,4.869468613,438,36.5,68.51829569,-432.6074932,5.709857974,-36.05062443
280,4.886921906,438,36.5,76.05790182,-431.3457958,6.338158485,-35.94548298
281,4.904375198,438,36.5,83.57433997,-429.9527064,6.964528331,-35.8293922
282,4.921828491,438,36.5,91.06532058,-428.4286491,7.588776715,-35.70238743
283,4.939281783,438,36.5,98.5285618,-426.7740884,8.210713483,-35.56450737
284,4.956735076,438,36.5,105.9617903,-424.9895281,8.830149192,-35.41579401
285,4.974188368,438,36.5,113.3627418,-423.0755119,9.44689515,-35.25629266
286,4.991641661,438,36.5,120.7291618,-421.0326228,10.06076348,-35.0860519
287,5.009094953,438,36.5,128.0588067,-418.8614831,10.67156723,-34.90512359
288,5.026548246,438,36.5,135.3494435,-416.5627541,11.27912029,-34.71356284
289,5.044001538,438,36.5,142.5988517,-414.1371361,11.88323764,-34.51142801
290,5.061454831,438,36.5,149.8048228,-411.5853679,12.48373523,-34.29878066
291,5.078908123,438,36.5,156.9651619,-408.9082268,13.08043016,-34.07568557
292,5.096361416,438,36.5,164.0776879,-406.1065283,13.67314066,-33.84221069
293,5.113814708,438,36.5,171.1402343,-403.1811258,14.26168619,-33.59842715
294,5.131268001,438,36.5,178.1506497,-400.1329104,14.84588748,-33.3444092
295,5.148721293,438,36.5,185.1067986,-396.9628107,15.42556655,-33.08023423
296,5.166174586,438,36.5,192.0065623,-393.6717923,16.00054686,-32.80598269
297,5.183627878,438,36.5,198.8478389,-390.2608576,16.57065324,-32.52173813
298,5.201081171,438,36.5,205.6285445,-386.7310457,17.13571204,-32.22758714
299,5.218534463,438,36.5,212.3466137,-383.0834317,17.69555114,-31.92361931
300,5.235987756,438,36.5,219,-379.3191269,18.25,-31.60992724
