x,y,x (ft),y (ft),description,img_last4,neck,seat_track,seat_height
5.512659,5.072164,18.08615157,16.64095801,,0,50th_male,mid,mid
5.506786,4.998243,18.0668832,16.39843504,,0,50th_male,mid,mid
5.490485,4.90256,18.01340223,16.08451444,,0,50th_male,mid,mid
5.480046,4.879914,17.97915354,16.01021654,,0,50th_male,mid,mid
9.15521,5.78398,30.03677822,18.97631234,,0,50th_male,mid,mid
9.452667,5.822692,31.01268701,19.10332021,,0,50th_male,mid,mid
9.865335,5.817213,32.36658465,19.08534449,,0,50th_male,mid,mid
10.067779,5.714676,33.030771,18.74893701,,0,50th_male,mid,mid
10.157153,5.559875,33.32399278,18.24105971,,0,50th_male,mid,mid
10.228654,5.436033,33.55857612,17.83475394,,0,50th_male,mid,mid
10.322497,5.27349,33.86645997,17.30147638,,0,50th_male,mid,mid
10.389529,5.15739,34.08638123,16.92057087,,0,50th_male,mid,mid
10.342075,4.991476,33.93069226,16.3762336,,0,50th_male,mid,mid
9.813296,4.752381,32.19585302,15.59180118,,0,50th_male,mid,mid
9.459108,4.633292,31.0338189,15.20108924,,0,50th_male,mid,mid
5.67155,3.649869,18.60744751,11.97463583,,0,50th_male,mid,mid
5.706696,3.588994,18.72275591,11.7749147,,0,50th_male,mid,mid
5.689935,3.515446,18.66776575,11.53361549,,0,50th_male,mid,mid
5.701998,3.427258,18.70734252,11.24428478,,0,50th_male,mid,mid
5.708385,3.316842,18.72829724,10.88202756,,0,50th_male,mid,mid
5.763199,3.221901,18.9081332,10.57054134,,0,50th_male,mid,mid
5.806595,3.146738,19.05050853,10.32394357,,0,50th_male,mid,mid
5.83495,3.064924,19.14353675,10.05552493,,0,50th_male,mid,mid
5.852667,2.969448,19.20166339,9.742283465,,0,50th_male,mid,mid
5.90923,2.871477,19.38723753,9.420856299,,0,50th_male,mid,mid
5.919632,2.789479,19.42136483,9.15183399,,0,50th_male,mid,mid
5.930875,2.770007,19.45825131,9.087949475,,0,50th_male,mid,mid
9.655181,6.165567,31.67710302,20.22823819,,0,50th_male,mid,mid
9.925831,6.213188,32.56506234,20.38447507,,0,50th_male,mid,mid
10.332293,6.189935,33.89859908,20.3081857,,0,50th_male,mid,mid
10.393191,6.055285,34.09839567,19.8664206,,0,50th_male,mid,mid
10.580425,5.902097,34.71268045,19.3638353,,0,50th_male,mid,mid
10.908475,5.797659,35.78895997,19.02119094,,0,50th_male,mid,mid
10.976626,5.643321,36.01255249,18.51483268,,0,50th_male,mid,mid
10.841192,5.45204,35.56821522,17.88727034,,0,50th_male,mid,mid
10.517243,5.191123,34.50539042,17.03124344,,0,50th_male,mid,mid
10.038549,4.97421,32.93487205,16.31958661,,0,50th_male,mid,mid
9.602876,4.825596,31.50549869,15.83200787,,0,50th_male,mid,mid
5.837615,3.670332,19.15228018,12.04177165,,0,50th_male,mid,mid
5.837615,3.646199,19.15228018,11.96259514,,0,50th_male,mid,mid
5.837615,3.535184,19.15228018,11.5983727,,0,50th_male,mid,mid
5.893108,3.455934,19.33434383,11.33836614,,0,50th_male,mid,mid
5.893108,3.348674,19.33434383,10.98646325,,0,50th_male,mid,mid
5.930732,3.248406,19.45778215,10.6575,,0,50th_male,mid,mid
5.988133,3.140059,19.64610564,10.30203084,,0,50th_male,mid,mid
5.988133,3.055757,19.64610564,10.02544948,,0,50th_male,mid,mid
6.046727,2.979359,19.83834318,9.774799869,,0,50th_male,mid,mid
6.046727,2.889172,19.83834318,9.478910761,,0,50th_male,mid,mid
6.046727,2.788964,19.83834318,9.150144357,,0,50th_male,mid,mid
6.046727,2.778943,19.83834318,9.11726706,,0,50th_male,mid,mid
6.08647,2.727409,19.9687336,8.948192257,,0,50th_male,mid,mid
6.08647,2.66182,19.9687336,8.733005249,,0,50th_male,mid,mid
6.147132,2.528929,20.16775591,8.297011155,,0,50th_male,mid,mid
6.147132,2.452451,20.16775591,8.046099081,,0,50th_male,mid,mid
6.209091,2.315907,20.37103346,7.598120079,,0,50th_male,mid,mid
6.315348,2.160434,20.71964567,7.088038058,,0,50th_male,mid,mid
6.38097,2.032593,20.93494094,6.668612205,,0,50th_male,mid,mid
6.358937,1.901124,20.8626542,6.237283465,,0,50th_male,mid,mid
6.38097,1.793913,20.93494094,5.885541339,,0,50th_male,mid,mid
6.403166,1.69656,21.00776247,5.566141732,,0,50th_male,mid,mid
6.44805,1.574772,21.15501969,5.166574803,,0,50th_male,mid,mid
6.470743,1.464754,21.22947178,4.80562336,,0,50th_male,mid,mid
6.516638,1.274783,21.38004593,4.182358924,,0,50th_male,mid,mid
6.563227,1.218549,21.53289698,3.997864173,,0,50th_male,mid,mid
6.539845,1.363809,21.45618438,4.474438976,,0,50th_male,mid,mid
6.539845,1.363809,21.45618438,4.474438976,,0,50th_male,mid,mid
