x (m),y (m),x (ft),y (ft),description,img_last4,neck,seat_track,seat_height
-1.98151,3.545038,-6.501017268,11.63070247,,0000,50th_male,mid,mid
-1.798908,3.360819,-5.901929323,11.02630941,,0000,50th_male,mid,mid
-1.59019,3.188029,-5.21715896,10.45941306,,0000,50th_male,mid,mid
-1.521759,3.273063,-4.992647798,10.73839601,,0000,50th_male,mid,mid
-1.42455,3.302006,-4.673720622,10.83335337,,0000,50th_male,mid,mid
-1.310934,3.331258,-4.300964705,10.9293245,,0000,50th_male,mid,mid
-1.211001,3.331258,-3.973100521,10.9293245,,0000,50th_male,mid,mid
-1.080318,3.331258,-3.544350507,10.9293245,,0000,50th_male,mid,mid
-1.032248,3.482293,-3.386640528,11.42484617,,0000,50th_male,mid,mid
-1.011316,3.81049,-3.317965985,12.50160801,,0000,50th_male,mid,mid
-0.925721,3.880723,-3.037142486,12.73203125,,0000,50th_male,mid,mid
-0.814179,3.916459,-2.67119103,12.84927535,,0000,50th_male,mid,mid
-0.667922,4.063691,-2.191345214,13.33231998,,0000,50th_male,mid,mid
-0.55689,4.139996,-1.827066988,13.58266448,,0000,50th_male,mid,mid
-0.442371,4.139996,-1.451348472,13.58266448,,0000,50th_male,mid,mid
-0.331956,4.178846,-1.089094523,13.71012511,,0000,50th_male,mid,mid
-0.203523,4.339127,-0.667726399,14.23598143,,0000,50th_male,mid,mid
-0.088116,4.380463,-0.289094497,14.37159823,,0000,50th_male,mid,mid
0.06731,4.380463,0.22083334,14.37159823,,0000,50th_male,mid,mid
0.231174,4.42232,0.758444906,14.50892435,,0000,50th_male,mid,mid
0.308505,3.775977,1.012155544,12.38837638,,0000,50th_male,mid,mid
0.358418,3.81049,1.175912111,12.50160801,,0000,50th_male,mid,mid
0.467714,3.845402,1.5344948,12.6161487,,0000,50th_male,mid,mid
0.568519,3.845402,1.865219876,12.6161487,,0000,50th_male,mid,mid
0.686126,3.845402,2.251069626,12.6161487,,0000,50th_male,mid,mid
0.789521,3.880723,2.590292078,12.73203125,,0000,50th_male,mid,mid
0.831768,3.880723,2.728897725,12.73203125,,0000,50th_male,mid,mid
0.882078,4.507658,2.893956786,14.78890467,,0000,50th_male,mid,mid
