x,y,x (ft),y (ft),description,img_last4,neck,seat_track,seat_height
1.511516,3.001501,4.959041995,9.847444226,,0000,50th_male,mid,mid
1.611326,3.036236,5.286502625,9.961404199,,0000,50th_male,mid,mid
1.689289,3.038514,5.542286745,9.968877953,,0000,50th_male,mid,mid
1.773648,3.062179,5.819055118,10.04651903,,0000,50th_male,mid,mid
1.854528,3.064716,6.084409449,10.05484252,,0000,50th_male,mid,mid
1.915123,3.05465,6.283211942,10.02181759,,0000,50th_male,mid,mid
0.877905,2.985081,2.880265748,9.793572835,,0000,50th_male,mid,mid
0.905911,2.968911,2.97214895,9.740521654,,0000,50th_male,mid,mid
0.977671,2.947393,3.207582021,9.669924541,,0000,50th_male,mid,mid
1.051989,2.944751,3.45140748,9.661256562,,0000,50th_male,mid,mid
1.091754,2.962657,3.581870079,9.720003281,,0000,50th_male,mid,mid
0.968133,-5.658471,3.17628937,-18.5645374,,0000,50th_male,mid,mid
0.968133,-5.658471,3.17628937,-18.5645374,,0000,50th_male,mid,mid
1.415629,-5.930296,4.6444521,-19.45635171,,0000,50th_male,mid,mid
1.415629,-5.930296,4.6444521,-19.45635171,,0000,50th_male,mid,mid
5.9766,1.836074,19.60826772,6.023864829,,0000,50th_male,mid,mid
7.080825,-0.797434,23.23105315,-2.616253281,,0000,50th_male,mid,mid
7.20268,-0.879449,23.6308399,-2.885331365,,0000,50th_male,mid,mid
7.263916,-0.985513,23.83174541,-3.233310367,,0000,50th_male,mid,mid
7.330719,-1.10122,24.05091535,-3.612926509,,0000,50th_male,mid,mid
7.391956,-1.207284,24.25182415,-3.960905512,,0000,50th_male,mid,mid
7.453193,-1.313349,24.45273294,-4.308887795,,0000,50th_male,mid,mid
7.544286,-1.405626,24.75159449,-4.611633858,,0000,50th_male,mid,mid
7.641926,-1.50858,25.0719357,-4.949409449,,0000,50th_male,mid,mid
7.734913,-1.602796,25.37701115,-5.25851706,,0000,50th_male,mid,mid
7.774478,-1.671326,25.50681759,-5.483353018,,0000,50th_male,mid,mid
6.560129,0.040873,21.52273294,0.134097769,,0000,50th_male,mid,mid
6.499804,0.145361,21.32481627,0.476906168,,0000,50th_male,mid,mid
6.410198,0.237625,21.03083333,0.77960958,,0000,50th_male,mid,mid
6.419444,0.348112,21.06116798,1.142099738,,0000,50th_male,mid,mid
6.556262,0.506216,21.51004593,1.660813648,,0000,50th_male,mid,mid
6.758357,0.649,22.17308727,2.129265092,,0000,50th_male,mid,mid
6.894513,0.711635,22.61979331,2.334760499,,0000,50th_male,mid,mid
6.678485,-0.100561,21.91104003,-0.329924541,,0000,50th_male,mid,mid
6.598519,-0.025619,21.64868438,-0.084051837,,0000,50th_male,mid,mid
6.598519,-0.025619,21.64868438,-0.084051837,,0000,50th_male,mid,mid
4.608902,2.013535,15.12106955,6.606085958,,0000,50th_male,mid,mid
4.66258,1.920561,15.29717848,6.30105315,,0000,50th_male,mid,mid
4.748837,1.872205,15.58017388,6.142404856,,0000,50th_male,mid,mid
4.851198,1.849892,15.91600394,6.069199475,,0000,50th_male,mid,mid
4.941132,1.799794,16.21106299,5.904835958,,0000,50th_male,mid,mid
5.053619,1.767122,16.58011483,5.797644357,,0000,50th_male,mid,mid
5.142377,1.724012,16.87131562,5.656207349,,0000,50th_male,mid,mid
5.238004,1.671082,17.18505249,5.482552493,,0000,50th_male,mid,mid
5.347935,1.653754,17.5457185,5.4257021,,0000,50th_male,mid,mid
5.461057,1.635924,17.91685367,5.367204724,,0000,50th_male,mid,mid
5.568933,1.570708,18.27077756,5.15324147,,0000,50th_male,mid,mid
5.688141,1.551202,18.66187992,5.089245407,,0000,50th_male,mid,mid
5.800989,1.483507,19.03211614,4.86714895,,0000,50th_male,mid,mid
6.005029,1.529204,19.70153871,5.017073491,,0000,50th_male,mid,mid
6.005029,1.529204,19.70153871,5.017073491,,0000,50th_male,mid,mid
4.55686,2.053817,14.95032808,6.738244751,,0000,50th_male,mid,mid
4.490762,2.118882,14.73347113,6.951712598,,0000,50th_male,mid,mid
4.396154,2.137041,14.42307743,7.01128937,,0000,50th_male,mid,mid
4.315497,2.181686,14.15845472,7.157762467,,0000,50th_male,mid,mid
4.306029,2.198084,14.12739173,7.21156168,,0000,50th_male,mid,mid
4.029953,2.355983,13.22163058,7.729603018,,0000,50th_male,mid,mid
3.832133,2.523822,12.57261483,8.280255906,,0000,50th_male,mid,mid
3.796066,2.543481,12.45428478,8.344753937,,0000,50th_male,mid,mid
3.724806,2.582325,12.22049213,8.472194882,,0000,50th_male,mid,mid
3.72034,2.59006,12.2058399,8.497572178,,0000,50th_male,mid,mid
3.974163,2.408373,13.03859252,7.90148622,,0000,50th_male,mid,mid
-0.726327,-5.564505,-2.382962598,-18.25625,,0000,50th_male,mid,mid
-0.726327,-5.564505,-2.382962598,-18.25625,,0000,50th_male,mid,mid
-0.521794,-5.953672,-1.711922572,-19.53304462,,0000,50th_male,mid,mid
-0.521794,-5.953672,-1.711922572,-19.53304462,,0000,50th_male,mid,mid
5.872325,0.382722,19.26615814,1.255649606,,0000,50th_male,mid,mid
5.94037,0.350381,19.48940289,1.149543963,,0000,50th_male,mid,mid
5.986699,0.268655,19.64140092,0.881414042,,0000,50th_male,mid,mid
6.033822,0.176017,19.79600394,0.577483596,,0000,50th_male,mid,mid
6.106047,0.101464,20.0329626,0.332887139,,0000,50th_male,mid,mid
6.106047,0.091831,20.0329626,0.301282808,,0000,50th_male,mid,mid
6.497423,-0.580761,21.31700459,-1.905383858,,0000,50th_male,mid,mid
6.553772,-0.648478,21.50187664,-2.127552493,,0000,50th_male,mid,mid
6.790179,-0.878528,22.27749016,-2.882309711,,0000,50th_male,mid,mid
6.852194,-0.974348,22.48095144,-3.19667979,,0000,50th_male,mid,mid
6.915444,-1.072075,22.68846457,-3.51730643,,0000,50th_male,mid,mid
7.012718,-1.144039,23.00760499,-3.753408793,,0000,50th_male,mid,mid
7.112985,-1.240945,23.33656496,-4.071341864,,0000,50th_male,mid,mid
7.147097,-1.361474,23.44848097,-4.466778215,,0000,50th_male,mid,mid
7.251579,-1.440627,23.79126969,-4.726466535,,0000,50th_male,mid,mid
7.359396,-1.534094,24.145,-5.033116798,,0000,50th_male,mid,mid
7.470714,-1.618617,24.51021654,-5.310423228,,0000,50th_male,mid,mid
7.664497,-1.700101,25.14598753,-5.577759186,,0000,50th_male,mid,mid
7.86936,-1.760921,25.81811024,-5.777299869,,0000,50th_male,mid,mid
8.041883,-1.82769,26.38413058,-5.996358268,,0000,50th_male,mid,mid
8.269242,-1.868959,27.13005906,-6.131755249,,0000,50th_male,mid,mid
8.662971,-1.92079,28.42182087,-6.301804462,,0000,50th_male,mid,mid
9.215046,-1.929826,30.23309055,-6.331450131,,0000,50th_male,mid,mid
6.640312,-0.699722,21.78580052,-2.295675853,,0000,50th_male,mid,mid
6.759624,-0.820562,22.17724409,-2.692132546,,0000,50th_male,mid,mid
6.669711,-0.787803,21.88225394,-2.584655512,,0000,50th_male,mid,mid
-2.258496,-4.453115,-7.40976378,-14.60995735,,0000,50th_male,mid,mid
-2.258496,-4.453115,-7.40976378,-14.60995735,,0000,50th_male,mid,mid
-2.276326,-4.882498,-7.468261155,-16.01869423,,0000,50th_male,mid,mid
-2.276326,-4.882498,-7.468261155,-16.01869423,,0000,50th_male,mid,mid
