x (ft),y (ft)
7.141824147,79.52370407
7.348736877,80.58161745
7.559776903,80.58161745
7.84550853,81.66530184
8.343937008,81.66530184
8.787017717,82.77560696
9.632906824,85.08068241
9.928533465,85.08068241
10.6675853,85.08068241
10.7414895,85.08068241
11.08259514,86.27737533
11.53170276,86.27737533
11.60655184,86.27737533
12.20536745,86.27737533
12.5047769,86.27737533
12.87903543,86.27737533
13.02873688,86.27737533
13.25329068,86.27737533
13.25329068,86.27737533
14.01053478,87.50525591
14.23800197,87.50525591
14.38964895,87.50525591
14.54129265,87.50525591
14.69293635,87.50525591
15.14787402,87.50525591
15.4790584,88.76540682
16.09361549,88.76540682
16.44178806,90.05900262
17.11495079,91.38765092
17.27273294,91.38765092
17.80653543,92.75265092
18.04645669,92.75265092
18.84618438,92.75265092
19.24604659,92.75265092
20.13893373,94.15539042
20.22001312,94.15539042
20.89251969,95.5977395
21.55030512,95.5977395
21.87919948,95.5977395
22.61920276,95.5977395
23.03031496,95.5977395
23.83591535,97.08125984
24.32643373,98.60771654
24.41103018,98.60771654
25.26054462,100.1788812
25.77562992,100.1788812
26.54823491,100.1788812
27.70369094,101.7970308
28.31356627,101.7970308
28.31356627,101.7970308
28.31356627,101.7970308
28.31356627,101.7970308
28.74919948,101.7970308
28.92344816,101.7970308
29.09770013,101.7970308
29.70758202,101.7970308
29.79471129,101.7970308
30.14320866,101.7970308
31.01677493,103.4641503
31.63588583,103.4641503
32.27634843,105.1823425
32.9947769,105.1823425
33.44378937,105.1823425
34.0724147,105.1823425
34.25201772,105.1823425
34.52142717,105.1823425
34.88063976,105.1823425
34.97043635,105.1823425
35.23985564,105.1823425
35.32965551,105.1823425
-8.520725066,148.5934711
-8.520725066,148.5934711
-8.514527559,163.1667684
-8.339192913,167.2430873
-8.159639108,185.6887762
-8.054924541,196.4450197
-7.498303806,202.2833202
-6.81410105,215.0182152
-5.289691601,229.3919652
-4.913612205,229.3919652
-4.161463255,229.3919652
-3.153687664,245.7435499
-2.751755249,245.7435499
-1.243139764,254.7918898
-0.618759843,254.7918898
0.630006562,254.7918898
1.670629921,254.7918898
3.335643045,254.7918898
3.543766404,254.7918898
-8.75480315,136.3028117
-8.555200131,133.5249803
-8.555200131,133.5249803
-8.17816273,128.2777953
-7.662135827,121.0962992
-7.197641076,114.6319783
-7.052942913,112.6182349
-6.244954068,100.1788812
-5.912152231,95.5977395
-5.14812664,85.08068241
-4.900013123,81.66530184
-4.320459318,74.59064304
-4.254284777,73.66970801
-3.693057743,70.18191273
-3.506692913,70.18191273
-3.083746719,69.355771
-3.083746719,69.355771
-3.022276903,69.355771
-2.852089895,68.54683071
-2.852089895,68.54683071
-2.84773294,65.4728773
-2.84773294,65.4728773
-3.397486877,63.32386811
-3.510882546,63.32386811
-3.629852362,62.63512139
-3.746555118,61.95942585
-3.864261811,60.64595801
-3.975554462,60.0074147
-4.031230315,59.38058727
-4.19218832,58.16084318
